FA,CHC,CHH,COND,CECN,SEP,T,TIPOFALLA
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.658,B0
S5,S3,S3,S5,S4,S5,0.662,B0
S5,S3,S4,S5,S4,S5,0.658,B0
S5,S3,S4,S5,S4,S5,0.594,B0
S5,S3,S4,S5,S4,S5,0.638,B0
S5,S3,S4,S5,S4,S5,0.638,B0
S5,S3,S4,S5,S4,S5,0.57,B0
S5,S4,S5,S4,S3,S0,0.7,E3
S5,S4,S5,S4,S3,S0,0.7,E3
S5,S4,S5,S4,S3,S0,0.7,E2.III
S5,S4,S5,S4,S3,S0,0.68,E3
S5,S4,S5,S4,S3,S0,0.634,E3
S5,S4,S5,S4,S3,S0,0.634,E3
S5,S4,S4,S4,S4,S0,0.748,E3
S5,S4,S4,S4,S4,S0,0.868,E2.I
S5,S4,S4,S4,S4,S0,0.86,C1
S5,S4,S4,S4,S4,S0,0.868,C1
S5,S4,S4,S4,S4,S0,0.868,E2.II
S5,S4,S4,S4,S4,S0,0.868,E2.II
S5,S4,S4,S5,S5,S0,0.924,E2.I
S5,S4,S4,S5,S5,S0,0.924,E2.I
S5,S5,S5,S5,S4,S0,0.908,C2
S5,S5,S5,S5,S4,S0,0.908,C2
S5,S5,S5,S5,S4,S0,0.914,B0
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
